Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
38108,5.6,5.2,4.8,17.1,4.9,10.1,4.6,6.9
38139,5.6,5.1,5,17,5,10.2,4.6,6.6
38169,5.5,5,4.8,17.8,4.7,11,3.9,6.8
38200,5.4,5,4.7,16.7,4.7,10.5,3.7,6.8
38231,5.4,5,4.6,16.6,4.6,10.3,4.5,6.8
38261,5.5,4.9,4.7,17.4,4.6,10.8,4.9,6.8
38292,5.4,4.9,4.7,16.4,4.6,10.7,4.1,6.7
38322,5.4,4.8,4.6,17.6,4.5,10.7,4.2,6.6
38353,5.3,4.7,4.7,16.2,4.5,10.6,4.1,6
38384,5.4,4.8,4.7,17.5,4.6,10.9,4.3,6.3
38412,5.2,4.6,4.6,17.1,4.5,10.5,3.9,5.8
38443,5.2,4.4,4.6,17.8,4.4,10.3,4.2,6.4
38473,5.1,4.3,4.7,17.8,4.4,10.1,4.2,6
38504,5,4.3,4.6,16.3,4.3,10.2,3.6,5.7
38534,5,4.2,4.6,16.1,4.2,9.2,4.8,5.5
38565,4.9,4.3,4.4,16.1,4.2,9.7,3.7,5.8
38596,5,4.5,4.6,15.5,4.4,9.4,4.3,6.4
38626,5,4.3,4.5,16.1,4.4,9.1,3.2,6
38657,5,4.3,4.6,17,4.3,10.6,3.6,6.1
38687,4.9,4.3,4.4,14.9,4.2,9.2,3.8,6.1
38718,4.7,4.1,4.3,15.1,4.1,8.9,3,5.5
38749,4.8,4.2,4.3,15.3,4.1,9.5,3,5.4
38777,4.7,4.1,4.2,16.1,4,9.5,3.5,5.2
38808,4.7,4.2,4.3,14.6,4.1,9.4,3.9,5.5
38838,4.6,4.2,4.1,14,4.1,8.7,3.3,5
38869,4.6,4,4.1,15.8,4.1,8.9,3.1,5.2
38899,4.7,4.1,4.2,15.9,4.1,9.5,2.4,5.2
38930,4.7,4.1,4.1,16,4.1,8.8,3,5.3
38961,4.5,3.7,4.2,16.3,3.9,9,3,5.5
38991,4.4,3.9,3.9,15.2,3.9,8.4,2.8,4.8
39022,4.5,4,4,14.8,4,8.5,3.1,5.1
39052,4.4,3.9,3.9,14.6,3.9,8.3,2.5,5
39083,4.6,4.2,4,14.8,4.2,7.9,3.1,5.5
39114,4.5,4.2,3.8,14.9,4.1,8,2.6,5.1
39142,4.4,4,3.8,14.9,3.8,8.4,3,5
39173,4.5,4,3.9,15.9,4,8.3,3.5,5.6
39203,4.4,4,3.8,15.9,3.9,8.3,3.2,5.8
39234,4.6,4,3.9,16.3,4.1,8.5,2.7,5.5
39264,4.7,4.2,4.2,15.3,4.2,8.1,2.7,5.9
39295,4.6,4.1,4.1,15.9,4.2,7.6,3.5,5.5
39326,4.7,4.2,4.1,15.9,4.2,8,3.4,5.9
39356,4.7,4.3,4.1,15.4,4.1,8.5,3.8,5.7
39387,4.7,4.2,4.2,16.2,4.2,8.5,3.6,5.9
39417,5,4.4,4.4,16.8,4.4,9,3.7,6.3
39448,5,4.5,4.3,17.8,4.4,9.1,3.1,6.3
39479,4.9,4.4,4.2,16.6,4.4,8.4,2.9,6.2
39508,5.1,4.6,4.5,16.1,4.5,9.2,3.6,6.9
39539,5,4.6,4.2,15.9,4.4,8.6,3.5,7.1
39569,5.4,4.9,4.6,19,4.8,9.6,4.1,6.9
39600,5.6,5.1,4.7,19.2,5,9.4,4.2,7.6
39630,5.8,5.4,4.7,20.7,5.2,10,3.7,7.5
39661,6.1,5.7,5.4,18.6,5.4,10.6,4.5,8
39692,6.1,6.1,5,19.1,5.4,11.3,4,8
39722,6.5,6.3,5.4,20,5.9,11.4,3.9,8.8
39753,6.8,6.7,5.7,20.3,6.2,11.5,4.8,8.7
39783,7.3,7.4,5.9,20.5,6.7,12.1,5.1,9.4
39814,7.8,7.9,6.5,20.7,7.1,12.7,6.1,10.1
39845,8.3,8.5,6.8,22.3,7.6,13.7,6.7,11.3
39873,8.7,9,7.1,22.2,8,13.7,6.5,11.7
39904,9,9.5,7.1,22.2,8.1,15,6.8,11.4
39934,9.4,9.8,7.5,23.4,8.5,15,7,12.3
39965,9.5,9.9,7.6,24.7,8.7,14.8,7.9,12.1
39995,9.5,9.8,7.7,24.3,8.7,14.8,8.1,12.5
40026,9.6,10,7.7,25,8.9,14.8,7.6,13
40057,9.8,10.1,7.9,25.9,8.9,15.3,7.6,12.6
40087,10,10.4,8,27.2,9.2,15.8,7.6,12.8
40118,9.9,10.3,7.9,26.9,9.2,15.7,7.2,12.4
40148,9.9,10.1,8,26.7,9,16.1,8.4,12.8
40179,9.8,10.2,7.9,26.1,8.8,16.5,8.3,12.9
40210,9.8,10.3,8,25.6,8.9,16.1,8.2,12.7
40238,9.9,10.2,8.1,26.2,8.9,16.8,7.6,12.9
40269,9.9,10.2,8.3,25.4,9,16.6,7,12.5
40299,9.6,9.7,8.1,26.5,8.7,15.5,7.8,12
